Actions,Actions
All Store Views,Toutes les vues de magasin
Are you sure?,Êtes-vous sûr ?
Current Page:,Page :
Display,Affichage
First Page,<<
From:,A partir de :
Last Page,>>
Mass Actions:,Actions
Next Page,>
No %1 found.,%s non trouvé(e)
Previous Page,<
Reset filters,Effacer les filtres
reset selection, Effacer la sélection
Rows Per Page:,Pagination :
Select an action,Sélectionnez une action
To:,Jusqu'à :
Total Pages:,Total :
Total selected:, Lignes sélectionnées :
Please select the records to apply the mass action to., Merci de sélectionner au moins un ligne.
